31/08/2020,"9.43"
01/09/2020,"9.71"
02/09/2020,"9.59"
03/09/2020,"9.79"
04/09/2020,"9.77"
05/09/2020,"9.77"
08/09/2020,"9.71"
09/09/2020,"9.68"
10/09/2020,"9.46"
11/09/2020,"9.27"
12/09/2020,"9.27"
13/09/2020,"9.27"
14/09/2020,"9.38"
15/09/2020,"9.26"
16/09/2020,"9.26"
17/09/2020,"9.25"
18/09/2020,"8.99"
19/09/2020,"8.99"
20/09/2020,"8.99"
21/09/2020,"9.00"
22/09/2020,"8.98"
23/09/2020,"8.97"
30/09/2020,"8.84"
01/10/2020,"8.91"
02/10/2020,"8.92"
03/10/2020,"8.92"
04/10/2020,"8.92"
05/10/2020,"8.96"
06/10/2020,"8.98"
07/10/2020,"8.90"
08/10/2020,"9.32"
09/10/2020,"9.36"
10/10/2020,"9.36"
11/10/2020,"9.36"
12/10/2020,"9.36"
13/10/2020,"9.33"
14/10/2020,"9.29"
15/10/2020,"9.25"
16/10/2020,"9.07"
17/10/2020,"9.07"
18/10/2020,"9.07"
16/10/2020,"9.11"
19/10/2020,"9.22"
20/10/2020,"9.55"
21/10/2020,"9.54"
22/10/2020,"9.90"
31/10/2020,"9.09"
30/10/2020,"9.09"
02/11/2020,"9.09"
03/11/2020,"9.18"
04/11/2020,"9.39"
05/11/2020,"9.74"
06/11/2020,"9.80"
07/11/2020,"9.80"
06/11/2020,"9.83"
09/11/2020,"10.42"
10/11/2020,"10.77"
11/11/2020,"10.60"
12/11/2020,"10.47"
13/11/2020,"10.66"
14/11/2020,"10.66"
15/11/2020,"10.66"
13/11/2020,"10.84"
16/11/2020,"10.88"
17/11/2020,"10.85"
18/11/2020,"10.69"
19/11/2020,"10.72"
20/11/2020,"10.62"
21/11/2020,"10.62"
22/11/2020,"10.62"
20/11/2020,"10.63"
30/11/2020,"10.72"
01/12/2020,"11.07"
02/12/2020,"11.04"
03/12/2020,"11.20"
04/12/2020,"11.17"
05/12/2020,"11.17"
04/12/2020,"11.21"
07/12/2020,"11.24"
08/12/2020,"11.21"
09/12/2020,"11.27"
10/12/2020,"11.50"
11/12/2020,"11.43"
12/12/2020,"11.43"
13/12/2020,"11.43"
11/12/2020,"11.46"
14/12/2020,"11.32"
15/12/2020,"11.50"
16/12/2020,"11.66"
17/12/2020,"11.67"
18/12/2020,"11.59"
19/12/2020,"11.59"
20/12/2020,"11.59"
18/12/2020,"11.56"
21/12/2020,"11.38"
22/12/2020,"11.39"
30/12/2020,"11.73"
01/01/2021,"11.73"
02/01/2021,"11.73"
04/01/2021,"11.44"
05/01/2021,"11.46"
06/01/2021,"11.71"
07/01/2021,"12.16"
08/01/2021,"12.13"
09/01/2021,"12.13"
10/01/2021,"12.13"
11/01/2021,"11.85"
12/01/2021,"11.94"
13/01/2021,"11.81"
14/01/2021,"11.92"
15/01/2021,"11.61"
16/01/2021,"11.61"
17/01/2021,"11.61"
18/01/2021,"11.63"
19/01/2021,"11.45"
20/01/2021,"11.27"
21/01/2021,"11.04"
22/01/2021,"10.88"
29/01/2021,"10.61"
